Book name,Price (GBP),Price (KES),Converted at
A Light in the Attic,51.77,9038.41,2026-09-19 21:57:53
Tipping the Velvet,53.74,9382.35,2026-09-19 21:57:53
Soumission,50.1,8746.85,2026-09-19 21:57:53
Sharp Objects,47.82,8348.79,2026-09-19 21:57:53
Sapiens: A Brief History of Humankind,54.23,9467.9,2026-09-19 21:57:53
The Requiem Red,22.65,3954.41,2026-09-19 21:57:53
The Dirty Little Secrets of Getting Your Dream Job,33.34,5820.76,2026-09-19 21:57:53
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3130.36,2026-09-19 21:57:53
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,3945.68,2026-09-19 21:57:53
The Black Maria,52.15,9104.75,2026-09-19 21:57:53
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2442.48,2026-09-19 21:57:53
Shakespeare's Sonnets,20.66,3606.98,2026-09-19 21:57:53
Set Me Free,17.46,3048.3,2026-09-19 21:57:53
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,9129.2,2026-09-19 21:57:53
Rip it Up and Start Again,35.02,6114.06,2026-09-19 21:57:53
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,9995.15,2026-09-19 21:57:53
Olio,23.88,4169.16,2026-09-19 21:57:53
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,6562.76,2026-09-19 21:57:53
Libertarianism for Beginners,51.33,8961.59,2026-09-19 21:57:53
It's Only the Himalayas,45.17,7886.13,2026-09-19 21:57:53
